rcode,ecode1,name,functions,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
R602,E0101,Bath & North East Somerset UA,UL,0,-0.025855,-0.024392,-0.023719,-0.017319,0.011592,-0.016098,0.018233,0.02062,0.018101
R603,E0102,Bristol UA,UL,0,-0.036238,-0.030498,-0.025206,-0.036821,-0.026429,-0.031468,0.013987,0.02055,0.007671
R604,E0103,South Gloucestershire UA,UL,0,-0.024165,-0.022117,-0.021734,-0.011871,0.008677,-0.002987,0.00327,0.016953,0.009428
R605,E0104,North Somerset UA,UL,0,-0.023547,-0.023653,-0.023789,-0.017846,0.005862,-0.014365,0.017528,0.019355,0.008765
R619,E0201,Luton UA,UL,0,-0.054645,-0.032262,0.008368,-0.051028,-0.03018,-0.019126,0.006433,0.020225,0.006897
R679,E0202,Bedford UA,UL,0,-0.037806,-0.030918,-0.019363,-0.017161,-0.001014,-0.010815,0.009738,0.01847,0.010344
R680,E0203,Central Bedfordshire UA,UL,0,-0.017487,-0.021953,-0.015492,-0.001143,0.020132,0.004922,0.010043,0.006793,0.008202
R642,E0301,Bracknell Forest UA,UL,0,-0.026097,-0.025731,-0.021993,-0.010537,0.009994,-0.007222,-0.003535,0.004824,0.002974
R643,E0302,West Berkshire UA,UL,0,-0.020889,-0.024123,-0.022616,-0.008945,0.018407,-0.011538,0.012893,0.011435,0.004928
R644,E0303,Reading UA,UL,0,-0.042578,-0.035538,-0.022328,-0.029557,-0.016186,-0.020792,0.029625,0.023946,0.014778
R645,E0304,Slough UA,UL,0,-0.048599,-0.036497,-0.016085,-0.044138,-0.027755,-0.018271,0.012858,0.026355,0.012695
R646,E0305,Windsor & Maidenhead UA,UL,0,-0.010748,-0.018077,-0.019594,-0.006981,0.02644,-0.007756,0.008148,0.008875,0.007361
R647,E0306,Wokingham UA,UL,0,-0.00647,-0.014992,-0.016663,-0.000461,0.027407,0.000674,0.008827,0.039755,-0.01863
R620,E0401,Milton Keynes UA,UL,0,-0.03379,-0.027979,-0.009263,-0.027115,-0.015639,-0.019987,-0.000516,0.008472,0.004004
R633,E0421,Buckinghamshire,U,0,-0.005987,-0.016665,-0.021009,-0.003681,0.025773,-0.007324,0.019183,0.026145,0.008477
R17,E0431,Aylesbury Vale,L,0,-0.088,-0.072086,0.033437,0.012529,0.0227,0.057349,-0.026601,-0.060845,-0.002703
R19,E0432,Chiltern,L,0,-0.047521,-0.043442,-0.023525,0.000753,-0.035943,0.002313,-0.00495,-0.021304,-0.028308
R18,E0434,South Bucks,L,0,-0.044068,-0.047821,-0.018202,0.020912,-0.009682,-0.00686,-0.064571,-0.059396,-0.04703
R21,E0435,Wycombe,L,0,-0.072534,-0.056495,-0.005472,-0.016654,-0.029918,-0.00866,-0.11645,-0.050654,-0.00965
R649,E0501,Peterborough UA,UL,0,-0.048059,-0.035756,0.004078,-0.034987,-0.025402,-0.019222,0.008054,0.014545,0.003614
R663,E0521,Cambridgeshire,U,0,-0.030096,-0.026056,-0.011412,-0.012166,0.01732,-0.026859,0.004608,0.024685,0.019351
R22,E0531,Cambridge,L,0,-0.069158,-0.061668,0.002343,0.010925,0.022949,0.037418,-0.036944,-0.015694,-0.021562
R23,E0532,East Cambridgeshire,L,0,-0.068086,-0.064333,0.020097,-0.031809,-0.041751,-0.013438,-0.115852,-0.071729,-0.039105
