GIS Join Match Code,Geography Year,State Name,State Code,County Name,County Code,Census Tract Code,Block Group Code,1990: Persons: Total,Lower bound: 1990: Persons: Total,Upper bound: 1990: Persons: Total,2000: Persons: Total,Lower bound: 2000: Persons: Total,Upper bound: 2000: Persons: Total,2010: Persons: Total
G48000109501001,2010,Texas,48,Anderson County,1,950100,1,1190.9,1186,1194,1300.45,1300,1302,1328
G48000109501002,2010,Texas,48,Anderson County,1,950100,2,1368,1368,1372,1689,1689,1689,1930
G48000109501003,2010,Texas,48,Anderson County,1,950100,3,1084.24,1069,1188,1346,1346,1346,1427
G48000109504011,2010,Texas,48,Anderson County,1,950401,1,4725.59,0,10079,6768.8,1185,6770,5422
G48000109504021,2010,Texas,48,Anderson County,1,950402,1,5353.41,0,10079,7612.2,7611,7709,7535
G48000109505001,2010,Texas,48,Anderson County,1,950500,1,751,751,751,656,656,656,709
G48000109505002,2010,Texas,48,Anderson County,1,950500,2,624,624,624,563,563,563,564
G48000109505003,2010,Texas,48,Anderson County,1,950500,3,1680,1680,1680,1690,1690,1690,1831
G48000109505004,2010,Texas,48,Anderson County,1,950500,4,1143,1143,1143,1045,1045,1045,1273
G48000109506001,2010,Texas,48,Anderson County,1,950600,1,1879,1879,1879,2023,2023,2023,2065
G48000109506002,2010,Texas,48,Anderson County,1,950600,2,1781,1781,1781,1761,1761,1761,1622
G48000109506003,2010,Texas,48,Anderson County,1,950600,3,1367,1367,1367,1301,1301,1301,1393
G48000109506004,2010,Texas,48,Anderson County,1,950600,4,1267,1267,1267,1278,1278,1278,1325
G48000109507001,2010,Texas,48,Anderson County,1,950700,1,772,772,772,632,632,632,839
G48000109507002,2010,Texas,48,Anderson County,1,950700,2,815,815,815,738,738,738,692
G48000109507003,2010,Texas,48,Anderson County,1,950700,3,997,997,997,983,983,983,1109
G48000109508001,2010,Texas,48,Anderson County,1,950800,1,1417.96,1346,1430,1355.16,1296,1356,1503
G48000109508002,2010,Texas,48,Anderson County,1,950800,2,1352.04,1351,1424,1206.84,1206,1266,1230
G48000109508003,2010,Texas,48,Anderson County,1,950800,3,1134,1134,1134,1064,1064,1064,1070
G48000109508004,2010,Texas,48,Anderson County,1,950800,4,811,811,811,740,740,740,774
G48000109508005,2010,Texas,48,Anderson County,1,950800,5,641,641,641,589,589,589,669
G48000109509011,2010,Texas,48,Anderson County,1,950901,1,961,961,961,1108,1108,1108,1163
G48000109509012,2010,Texas,48,Anderson County,1,950901,2,558,547,558,721,721,721,690
G48000109509013,2010,Texas,48,Anderson County,1,950901,3,542,542,542,603,603,603,622
G48000109509014,2010,Texas,48,Anderson County,1,950901,4,1416.84,1414,11539,2014.25,2014,7534,3463
G48000109509021,2010,Texas,48,Anderson County,1,950902,1,820,820,820,853,853,853,975
G48000109509022,2010,Texas,48,Anderson County,1,950902,2,1483,1483,1483,1474,1474,1474,1617
G48000109509023,2010,Texas,48,Anderson County,1,950902,3,731.16,688,734,863.75,831,864,907
G48000109509024,2010,Texas,48,Anderson County,1,950902,4,1099,1099,1099,1245,1245,1245,1335
G48000109510001,2010,Texas,48,Anderson County,1,951000,1,950,950,950,1109,1109,1109,1382
G48000109510002,2010,Texas,48,Anderson County,1,951000,2,1584.98,1556,1585,1834.99,1815,1835,2238
G48000109510003,2010,Texas,48,Anderson County,1,951000,3,590.02,590,619,606.01,606,626,701
G48000109510004,2010,Texas,48,Anderson County,1,951000,4,659.98,645,677,1020.16,981,1029,1250
G48000109510005,2010,Texas,48,Anderson County,1,951000,5,521.07,521,528,604.21,604,627,691
G48000109510006,2010,Texas,48,Anderson County,1,951000,6,598.96,582,607,626.63,618,643,726
G48000109511001,2010,Texas,48,Anderson County,1,951100,1,1339.76,1236,1355,1665,1665,1665,1803
G48000109511002,2010,Texas,48,Anderson County,1,951100,2,719,719,719,738,738,738,900
G48000109511003,2010,Texas,48,Anderson County,1,951100,3,870,870,870,1068,1068,1068,1076
G48000109511004,2010,Texas,48,Anderson County,1,951100,4,427,427,427,614,614,614,609
G48000309501001,2010,Texas,48,Andrews County,3,950100,1,1369.31,1206,1379,1525,1525,1525,1678
G48000309502001,2010,Texas,48,Andrews County,3,950200,1,1511.69,1502,1675,1289,1289,1289,1540
G48000309502002,2010,Texas,48,Andrews County,3,950200,2,1041,1041,1041,923,923,923,1029
G48000309502003,2010,Texas,48,Andrews County,3,950200,3,1271,1271,1271,1176,1176,1176,1250
G48000309502004,2010,Texas,48,Andrews County,3,950200,4,797,797,797,775,775,775,813
G48000309502005,2010,Texas,48,Andrews County,3,950200,5,845,845,845,752,752,752,1003
G48000309502006,2010,Texas,48,Andrews County,3,950200,6,795,795,795,692,692,692,838
G48000309503001,2010,Texas,48,Andrews County,3,950300,1,1801,1801,2070,1449,1449,1449,1720
G48000309503002,2010,Texas,48,Andrews County,3,950300,2,1690,1690,1690,1428,1428,1428,1594
G48000309503003,2010,Texas,48,Andrews County,3,950300,3,703,703,703,642,642,642,610
G48000309504001,2010,Texas,48,Andrews County,3,950400,1,2514,2245,2514,2353,2353,2353,2711
G48000500001011,2010,Texas,48,Angelina County,5,101,1,2191,2191,2191,2823,2823,2823,3100
G48000500001012,2010,Texas,48,Angelina County,5,101,2,1031,1031,1031,1166,1166,1166,1317
G48000500001013,2010,Texas,48,Angelina County,5,101,3,1674,1674,1674,1906,1906,1906,1894
G48000500001021,2010,Texas,48,Angelina County,5,102,1,1994,1994,1994,2674,2674,2674,3526
G48000500001022,2010,Texas,48,Angelina County,5,102,2,454,454,454,620,620,620,921
G48000500002001,2010,Texas,48,Angelina County,5,200,1,1720,1720,1720,1801,1801,1801,1945
G48000500002002,2010,Texas,48,Angelina County,5,200,2,2451.2,2357,2525,2493.03,2493,2547,2534
G48000500002003,2010,Texas,48,Angelina County,5,200,3,1617,1617,1617,1804,1804,1804,2101
G48000500003011,2010,Texas,48,Angelina County,5,301,1,1427.55,1168,1429,1793,1793,1793,1758
G48000500003012,2010,Texas,48,Angelina County,5,301,2,861,861,861,1142,1142,1142,1506
