code_mhclg,year,number,age_band
E0101,2013,34211,0_17
E0101,2013,111335,18_64
E0101,2013,33914,65plus
E0101,2013,179460,all
E0101,2014,34424,0_17
E0101,2014,112223,18_64
E0101,2014,34594,65plus
E0101,2014,181241,all
E0101,2015,34738,0_17
E0101,2015,114585,18_64
E0101,2015,34964,65plus
E0101,2015,184287,all
E0101,2016,35193,0_17
E0101,2016,116407,18_64
E0101,2016,35346,65plus
E0101,2016,186946,all
E0101,2017,35139,0_17
E0101,2017,114598,18_64
E0101,2017,36066,65plus
E0101,2017,185803,all
E0101,2018,35462,0_17
E0101,2018,114742,18_64
E0101,2018,36611,65plus
E0101,2018,186815,all
E0101,2019,35808,0_17
E0101,2019,114666,18_64
E0101,2019,37177,65plus
E0101,2019,187651,all
E0101,2020,36261,0_17
E0101,2020,114475,18_64
E0101,2020,37654,65plus
E0101,2020,188390,all
E0101,2021,36684,0_17
E0101,2021,114133,18_64
E0101,2021,38277,65plus
E0101,2021,189094,all
E0101,2022,37138,0_17
E0101,2022,113809,18_64
E0101,2022,38967,65plus
E0101,2022,189914,all
E0101,2023,37523,0_17
E0101,2023,113794,18_64
E0101,2023,39562,65plus
E0101,2023,190879,all
E0101,2024,37797,0_17
E0101,2024,113920,18_64
E0101,2024,40230,65plus
E0101,2024,191947,all
E0101,2025,37944,0_17
E0101,2025,114240,18_64
E0101,2025,40951,65plus
E0101,2025,193135,all
E0101,2026,38143,0_17
E0101,2026,114477,18_64
E0101,2026,41755,65plus
E0101,2026,194375,all
E0101,2027,38301,0_17
E0101,2027,114708,18_64
E0101,2027,42632,65plus
E0101,2027,195641,all
E0101,2028,38462,0_17
E0101,2028,114895,18_64
E0101,2028,43482,65plus
E0101,2028,196839,all
E0101,2029,38504,0_17
E0101,2029,115031,18_64
E0101,2029,44465,65plus
E0101,2029,198000,all
E0101,2030,38528,0_17
E0101,2030,115222,18_64
E0101,2030,45380,65plus
E0101,2030,199130,all
E0101,2031,38612,0_17
E0101,2031,115381,18_64
E0101,2031,46217,65plus
E0101,2031,200210,all
E0101,2032,38768,0_17
E0101,2032,115346,18_64
E0101,2032,47042,65plus
E0101,2032,201156,all
E0101,2033,38873,0_17
E0101,2033,115323,18_64
E0101,2033,47780,65plus
E0101,2033,201976,all
E0101,2034,38948,0_17
E0101,2034,115320,18_64
E0101,2034,48464,65plus
E0101,2034,202732,all
E0101,2035,39011,0_17
E0101,2035,115410,18_64
E0101,2035,49058,65plus
E0101,2035,203479,all
E0101,2036,39063,0_17
E0101,2036,115494,18_64
E0101,2036,49696,65plus
E0101,2036,204253,all
E0101,2037,39113,0_17
E0101,2037,115652,18_64
E0101,2037,50290,65plus
E0101,2037,205055,all
E0101,2038,39156,0_17
E0101,2038,115992,18_64
E0101,2038,50716,65plus
E0101,2038,205864,all
E0101,2039,39205,0_17
E0101,2039,116461,18_64
E0101,2039,51001,65plus
E0101,2039,206667,all
E0102,2013,90607,0_17
E0102,2013,289743,18_64
E0102,2013,58036,65plus
E0102,2013,438386,all
E0102,2014,91932,0_17
E0102,2014,293057,18_64
E0102,2014,58802,65plus
E0102,2014,443791,all
E0102,2015,92782,0_17
E0102,2015,298510,18_64
E0102,2015,59348,65plus
E0102,2015,450640,all
E0102,2016,93694,0_17
E0102,2016,302656,18_64
E0102,2016,59616,65plus
E0102,2016,455966,all
E0102,2017,95588,0_17
E0102,2017,302907,18_64
E0102,2017,60406,65plus
E0102,2017,458901,all
E0102,2018,97076,0_17
E0102,2018,305497,18_64
E0102,2018,61119,65plus
E0102,2018,463692,all
E0102,2019,98802,0_17
E0102,2019,307476,18_64
E0102,2019,61859,65plus
E0102,2019,468137,all
E0102,2020,100614,0_17
E0102,2020,309163,18_64
E0102,2020,62578,65plus
E0102,2020,472355,all
E0102,2021,102342,0_17
E0102,2021,310613,18_64
E0102,2021,63381,65plus
E0102,2021,476336,all
E0102,2022,103887,0_17
E0102,2022,312158,18_64
E0102,2022,64285,65plus
E0102,2022,480330,all
E0102,2023,105290,0_17
E0102,2023,313743,18_64
E0102,2023,65351,65plus
E0102,2023,484384,all
E0102,2024,106537,0_17
E0102,2024,315495,18_64
E0102,2024,66447,65plus
E0102,2024,488479,all
E0102,2025,107575,0_17
E0102,2025,317516,18_64
E0102,2025,67547,65plus
E0102,2025,492638,all
E0102,2026,108365,0_17
E0102,2026,319708,18_64
E0102,2026,68732,65plus
E0102,2026,496805,all
E0102,2027,109168,0_17
E0102,2027,321689,18_64
E0102,2027,70108,65plus
E0102,2027,500965,all
E0102,2028,109809,0_17
E0102,2028,323709,18_64
E0102,2028,71527,65plus
E0102,2028,505045,all
E0102,2029,110373,0_17
E0102,2029,325782,18_64
E0102,2029,72914,65plus
E0102,2029,509069,all
E0102,2030,110695,0_17
E0102,2030,327954,18_64
E0102,2030,74418,65plus
E0102,2030,513067,all
E0102,2031,111264,0_17
E0102,2031,329880,18_64
E0102,2031,75884,65plus
E0102,2031,517028,all
E0102,2032,111972,0_17
E0102,2032,331521,18_64
E0102,2032,77318,65plus
E0102,2032,520811,all
E0102,2033,112579,0_17
E0102,2033,333391,18_64
E0102,2033,78453,65plus
E0102,2033,524423,all
E0102,2034,113097,0_17
E0102,2034,335229,18_64
E0102,2034,79618,65plus
E0102,2034,527944,all
E0102,2035,113537,0_17
E0102,2035,337282,18_64
E0102,2035,80649,65plus
E0102,2035,531468,all
E0102,2036,113949,0_17
E0102,2036,339238,18_64
E0102,2036,81830,65plus
E0102,2036,535017,all
E0102,2037,114341,0_17
E0102,2037,341402,18_64
E0102,2037,82830,65plus
E0102,2037,538573,all
E0102,2038,114713,0_17
E0102,2038,343750,18_64
E0102,2038,83645,65plus
E0102,2038,542108,all
E0102,2039,115094,0_17
E0102,2039,346185,18_64
E0102,2039,84336,65plus
E0102,2039,545615,all
E0103,2013,56960,0_17
E0103,2013,163790,18_64
E0103,2013,48201,65plus
E0103,2013,268951,all
E0103,2014,57051,0_17
E0103,2014,164463,18_64
E0103,2014,49480,65plus
E0103,2014,270994,all
E0103,2015,57449,0_17
E0103,2015,166029,18_64
E0103,2015,50474,65plus
E0103,2015,273952,all
E0103,2016,57715,0_17
E0103,2016,167583,18_64
E0103,2016,51379,65plus
E0103,2016,276677,all
E0103,2017,57998,0_17
E0103,2017,168966,18_64
E0103,2017,52500,65plus
E0103,2017,279464,all
E0103,2018,58664,0_17
E0103,2018,169827,18_64
E0103,2018,53582,65plus
E0103,2018,282073,all
E0103,2019,59388,0_17
E0103,2019,170673,18_64
E0103,2019,54604,65plus
E0103,2019,284665,all
E0103,2020,60305,0_17
E0103,2020,171422,18_64
E0103,2020,55476,65plus
E0103,2020,287203,all
E0103,2021,61176,0_17
E0103,2021,172129,18_64
E0103,2021,56421,65plus
E0103,2021,289726,all
E0103,2022,61958,0_17
E0103,2022,172830,18_64
E0103,2022,57499,65plus
E0103,2022,292287,all
E0103,2023,62665,0_17
E0103,2023,173531,18_64
E0103,2023,58677,65plus
E0103,2023,294873,all
E0103,2024,63238,0_17
E0103,2024,174388,18_64
E0103,2024,59812,65plus
E0103,2024,297438,all
E0103,2025,63805,0_17
E0103,2025,175106,18_64
E0103,2025,61065,65plus
E0103,2025,299976,all
E0103,2026,64135,0_17
E0103,2026,175946,18_64
E0103,2026,62406,65plus
E0103,2026,302487,all
E0103,2027,64505,0_17
E0103,2027,176522,18_64
E0103,2027,63914,65plus
E0103,2027,304941,all
E0103,2028,64817,0_17
E0103,2028,176955,18_64
E0103,2028,65550,65plus
E0103,2028,307322,all
E0103,2029,65106,0_17
E0103,2029,177309,18_64
E0103,2029,67248,65plus
E0103,2029,309663,all
E0103,2030,65368,0_17
E0103,2030,177777,18_64
E0103,2030,68828,65plus
E0103,2030,311973,all
E0103,2031,65666,0_17
E0103,2031,178099,18_64
E0103,2031,70469,65plus
E0103,2031,314234,all
E0103,2032,66029,0_17
E0103,2032,178406,18_64
E0103,2032,71997,65plus
E0103,2032,316432,all
E0103,2033,66376,0_17
E0103,2033,178917,18_64
E0103,2033,73269,65plus
E0103,2033,318562,all
E0103,2034,66679,0_17
E0103,2034,179424,18_64
E0103,2034,74554,65plus
E0103,2034,320657,all
E0103,2035,66940,0_17
E0103,2035,180102,18_64
