code_mhclg,year,number,age_band
E0101,2013,34211,0_17
E0101,2013,111335,18_64
E0101,2013,33914,65plus
E0101,2013,179460,all
E0101,2014,34424,0_17
E0101,2014,112223,18_64
E0101,2014,34594,65plus
E0101,2014,181241,all
E0101,2015,34738,0_17
E0101,2015,114585,18_64
E0101,2015,34964,65plus
E0101,2015,184287,all
E0101,2016,35193,0_17
E0101,2016,116407,18_64
E0101,2016,35346,65plus
E0101,2016,186946,all
E0101,2017,35562,0_17
E0101,2017,117215,18_64
E0101,2017,35774,65plus
E0101,2017,188551,all
E0101,2018,35985,0_17
E0101,2018,117790,18_64
E0101,2018,36260,65plus
E0101,2018,190035,all
E0101,2019,36419,0_17
E0101,2019,118170,18_64
E0101,2019,36733,65plus
E0101,2019,191322,all
E0101,2020,36973,0_17
E0101,2020,118310,18_64
E0101,2020,37154,65plus
E0101,2020,192437,all
E0101,2021,37478,0_17
E0101,2021,118282,18_64
E0101,2021,37694,65plus
E0101,2021,193454,all
E0101,2022,38006,0_17
E0101,2022,118212,18_64
E0101,2022,38311,65plus
E0101,2022,194529,all
E0101,2023,38483,0_17
E0101,2023,118355,18_64
E0101,2023,38865,65plus
E0101,2023,195703,all
E0101,2024,38810,0_17
E0101,2024,118681,18_64
E0101,2024,39478,65plus
E0101,2024,196969,all
E0101,2025,39016,0_17
E0101,2025,119212,18_64
E0101,2025,40137,65plus
E0101,2025,198365,all
E0101,2026,39272,0_17
E0101,2026,119695,18_64
E0101,2026,40868,65plus
E0101,2026,199835,all
E0101,2027,39474,0_17
E0101,2027,120170,18_64
E0101,2027,41686,65plus
E0101,2027,201330,all
E0101,2028,39686,0_17
E0101,2028,120578,18_64
E0101,2028,42484,65plus
E0101,2028,202748,all
E0101,2029,39782,0_17
E0101,2029,120921,18_64
E0101,2029,43419,65plus
E0101,2029,204122,all
E0101,2030,39820,0_17
E0101,2030,121381,18_64
E0101,2030,44262,65plus
E0101,2030,205463,all
E0101,2031,39921,0_17
E0101,2031,121785,18_64
E0101,2031,45035,65plus
E0101,2031,206741,all
E0101,2032,40093,0_17
E0101,2032,121971,18_64
E0101,2032,45789,65plus
E0101,2032,207853,all
E0101,2033,40271,0_17
E0101,2033,122094,18_64
E0101,2033,46454,65plus
E0101,2033,208819,all
E0101,2034,40386,0_17
E0101,2034,122253,18_64
E0101,2034,47069,65plus
E0101,2034,209708,all
E0101,2035,40522,0_17
E0101,2035,122421,18_64
E0101,2035,47604,65plus
E0101,2035,210547,all
E0101,2036,40630,0_17
E0101,2036,122507,18_64
E0101,2036,48179,65plus
E0101,2036,211316,all
E0101,2037,40745,0_17
E0101,2037,122624,18_64
E0101,2037,48730,65plus
E0101,2037,212099,all
E0101,2038,40863,0_17
E0101,2038,122890,18_64
E0101,2038,49138,65plus
E0101,2038,212891,all
E0101,2039,40979,0_17
E0101,2039,123304,18_64
E0101,2039,49384,65plus
E0101,2039,213667,all
E0101,2040,41107,0_17
E0101,2040,123755,18_64
E0101,2040,49584,65plus
E0101,2040,214446,all
E0101,2041,41249,0_17
E0101,2041,124283,18_64
E0101,2041,49685,65plus
E0101,2041,215217,all
E0102,2013,90607,0_17
E0102,2013,289743,18_64
E0102,2013,58036,65plus
E0102,2013,438386,all
E0102,2014,91932,0_17
E0102,2014,293057,18_64
E0102,2014,58802,65plus
E0102,2014,443791,all
E0102,2015,92782,0_17
E0102,2015,298510,18_64
E0102,2015,59348,65plus
E0102,2015,450640,all
E0102,2016,93694,0_17
E0102,2016,302656,18_64
E0102,2016,59616,65plus
E0102,2016,455966,all
E0102,2017,94882,0_17
E0102,2017,306435,18_64
E0102,2017,59908,65plus
E0102,2017,461225,all
E0102,2018,96213,0_17
E0102,2018,309513,18_64
E0102,2018,60435,65plus
E0102,2018,466161,all
E0102,2019,97767,0_17
E0102,2019,311939,18_64
E0102,2019,61011,65plus
E0102,2019,470717,all
E0102,2020,99402,0_17
E0102,2020,313982,18_64
E0102,2020,61574,65plus
E0102,2020,474958,all
E0102,2021,100954,0_17
E0102,2021,315723,18_64
E0102,2021,62189,65plus
E0102,2021,478866,all
E0102,2022,102375,0_17
E0102,2022,317456,18_64
E0102,2022,62879,65plus
E0102,2022,482710,all
E0102,2023,103660,0_17
E0102,2023,319108,18_64
E0102,2023,63721,65plus
E0102,2023,486489,all
E0102,2024,104771,0_17
E0102,2024,320919,18_64
E0102,2024,64604,65plus
E0102,2024,490294,all
E0102,2025,105661,0_17
E0102,2025,323083,18_64
E0102,2025,65441,65plus
E0102,2025,494185,all
E0102,2026,106398,0_17
E0102,2026,325339,18_64
E0102,2026,66382,65plus
E0102,2026,498119,all
E0102,2027,107203,0_17
E0102,2027,327355,18_64
E0102,2027,67518,65plus
E0102,2027,502076,all
E0102,2028,107804,0_17
E0102,2028,329486,18_64
E0102,2028,68672,65plus
E0102,2028,505962,all
E0102,2029,108371,0_17
E0102,2029,331601,18_64
E0102,2029,69843,65plus
E0102,2029,509815,all
E0102,2030,108681,0_17
E0102,2030,333867,18_64
E0102,2030,71128,65plus
E0102,2030,513676,all
E0102,2031,109235,0_17
E0102,2031,335938,18_64
E0102,2031,72363,65plus
E0102,2031,517536,all
E0102,2032,109880,0_17
E0102,2032,337812,18_64
E0102,2032,73530,65plus
E0102,2032,521222,all
E0102,2033,110551,0_17
E0102,2033,339784,18_64
E0102,2033,74406,65plus
E0102,2033,524741,all
E0102,2034,111213,0_17
E0102,2034,341632,18_64
E0102,2034,75329,65plus
E0102,2034,528174,all
E0102,2035,111795,0_17
E0102,2035,343665,18_64
E0102,2035,76127,65plus
E0102,2035,531587,all
E0102,2036,112324,0_17
E0102,2036,345518,18_64
E0102,2036,77068,65plus
E0102,2036,534910,all
E0102,2037,112868,0_17
E0102,2037,347500,18_64
E0102,2037,77845,65plus
E0102,2037,538213,all
E0102,2038,113429,0_17
E0102,2038,349597,18_64
E0102,2038,78463,65plus
E0102,2038,541489,all
E0102,2039,114004,0_17
E0102,2039,351756,18_64
E0102,2039,78969,65plus
E0102,2039,544729,all
E0102,2040,114589,0_17
E0102,2040,353895,18_64
E0102,2040,79444,65plus
E0102,2040,547928,all
E0102,2041,115212,0_17
E0102,2041,356013,18_64
E0102,2041,79857,65plus
E0102,2041,551082,all
E0103,2013,56960,0_17
E0103,2013,163790,18_64
E0103,2013,48201,65plus
E0103,2013,268951,all
E0103,2014,57051,0_17
E0103,2014,164463,18_64
E0103,2014,49480,65plus
E0103,2014,270994,all
E0103,2015,57449,0_17
E0103,2015,166029,18_64
E0103,2015,50474,65plus
E0103,2015,273952,all
E0103,2016,57715,0_17
E0103,2016,167583,18_64
E0103,2016,51379,65plus
E0103,2016,276677,all
E0103,2017,58172,0_17
E0103,2017,168946,18_64
E0103,2017,52122,65plus
E0103,2017,279240,all
E0103,2018,58817,0_17
E0103,2018,169972,18_64
E0103,2018,53081,65plus
E0103,2018,281870,all
E0103,2019,59517,0_17
E0103,2019,170981,18_64
E0103,2019,54002,65plus
E0103,2019,284500,all
E0103,2020,60417,0_17
E0103,2020,171910,18_64
E0103,2020,54769,65plus
E0103,2020,287096,all
E0103,2021,61236,0_17
E0103,2021,172850,18_64
E0103,2021,55574,65plus
E0103,2021,289660,all
E0103,2022,61973,0_17
E0103,2022,173775,18_64
E0103,2022,56488,65plus
E0103,2022,292236,all
E0103,2023,62639,0_17
E0103,2023,174680,18_64
E0103,2023,57489,65plus
E0103,2023,294808,all
E0103,2024,63216,0_17
E0103,2024,175718,18_64
E0103,2024,58423,65plus
E0103,2024,297357,all
E0103,2025,63780,0_17
E0103,2025,176580,18_64
E0103,2025,59521,65plus
E0103,2025,299881,all
E0103,2026,64103,0_17
E0103,2026,177599,18_64
E0103,2026,60682,65plus
E0103,2026,302384,all
E0103,2027,64461,0_17
E0103,2027,178418,18_64
E0103,2027,61958,65plus
E0103,2027,304837,all
E0103,2028,64792,0_17
E0103,2028,179044,18_64
E0103,2028,63385,65plus
E0103,2028,307221,all
E0103,2029,65041,0_17
E0103,2029,179662,18_64
E0103,2029,64856,65plus
E0103,2029,309559,all
E0103,2030,65335,0_17
E0103,2030,180293,18_64
E0103,2030,66238,65plus
E0103,2030,311866,all
E0103,2031,65610,0_17
E0103,2031,180841,18_64
